관리번호,전화번호,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
3220000-101-2025-01332,02  540 0332,서울특별시 강남구 논현동 192-19 H타워,"서울특별시 강남구 봉은사로 179, H타워 지하1층 (논현동)",6122.0,버거킹 차병원사거리점,기타,202885.5995,445029.8169
3220000-101-2019-00483,02  62308813,서울특별시 강남구 삼성동 113-5 호텔크레센도서울,"서울특별시 강남구 봉은사로 428, 호텔크레센도서울 지상1층 (삼성동)",6153.0,428,기타,204077.3785,445400.1986
3220000-101-2016-01002,02  459 5227,서울특별시 강남구 자곡동 596,"서울특별시 강남구 자곡로 201, 1층 102,103,105,106호 (자곡동, 강남더샵라르고)",6372.0,화통스마트정육식당,한식,209205.6879,441478.6767
3220000-101-2017-00252,02  568 3022,서울특별시 강남구 역삼동 705,"서울특별시 강남구 테헤란로51길 10, 지하1층 (역삼동, 정다운빌딩)",6150.0,팬텀705,기타,204084.9189,444728.3057
3220000-101-2003-01040,5225818,서울특별시 강남구 역삼동 643-14 지상1층102호,"서울특별시 강남구 테헤란로25길 15-10 (역삼동,지상1층102호)",6131.0,소담길,한식,202979.931,444398.5957
3220000-101-2010-00748,5177548,서울특별시 강남구 청담동 85-14 지하2층,"서울특별시 강남구 도산대로55길 25 (청담동,지하2층)",6014.0,엠앤엠(MnM),경양식,203504.6506,447000.176
3220000-101-2000-21415,234439290,서울특별시 강남구 신사동 657-3 2층,"서울특별시 강남구 선릉로157길 29 (신사동,2층)",6018.0,러너펍 압구정로데오점 홀덤펍,경양식,203230.0602,447110.4932
3220000-101-2025-00427,02  549 8090,서울특별시 강남구 논현동 225-6 논현 아이파크,"서울특별시 강남구 언주로 615, 논현 아이파크 103동 지하1층 B104호 (논현동)",6107.0,악마의곱도리탕&소곱창대가 강남점,한식,203108.3618,445369.4291
3220000-101-1996-09188,02 5182949,서울특별시 강남구 논현동 85-8,서울특별시 강남구 언주로133길 17 (논현동),6053.0,라베뉴,경양식,202924.9978,445982.1752
3220000-101-2005-00471,02 5163688,서울특별시 강남구 역삼동 736-24 엘지역삼에클라트지상1층109호,"서울특별시 강남구 테헤란로20길 19 (역삼동,엘지역삼에클라트지상1층109호)",6236.0,새마을식당,한식,203028.8772,444037.7188
